nohup: ignoring input
use_cuda: True
use_cuda: True
Loading syncnet from checkpoint: /mnt/sdb/liwen/wav2lip_288x288/checkpoints/sync_original/lipsync_expert.pth
Load checkpoint from: /mnt/sdb/liwen/wav2lip_288x288/checkpoints/sync_original/lipsync_expert.pth
Load checkpoint from: /mnt/sdb/liwen/wav2lip_288x288/checkpoints/wav2lip/sam/gen_checkpoint_384_4_000096000_2024-01-01.pth
Load optimizer state from /mnt/sdb/liwen/wav2lip_288x288/checkpoints/wav2lip/sam/gen_checkpoint_384_4_000096000_2024-01-01.pth
Load checkpoint from: /mnt/sdb/liwen/wav2lip_288x288/checkpoints/wav2lip/sam/disc_checkpoint_384_4_000096000_2024-01-01.pth
Load optimizer state from /mnt/sdb/liwen/wav2lip_288x288/checkpoints/wav2lip/sam/disc_checkpoint_384_4_000096000_2024-01-01.pth
Setting up [LPIPS] perceptual loss: trunk [alex], v[0.1], spatial [off]
Loading model from: /mnt/sdb/miniconda3/envs/wav2lip/lib/python3.8/site-packages/lpips/weights/v0.1/alex.pth
/mnt/sdb/miniconda3/envs/wav2lip/lib/python3.8/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/mnt/sdb/miniconda3/envs/wav2lip/lib/python3.8/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=AlexNet_Weights.IMAGENET1K_V1`. You can also use `weights=AlexNet_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Step 96001 | L1: 0.03278 | Vgg: 0.0645 | SW: 0.03 | Sync: 0.9505 | DW: 0.025 | Percep: 1.545 | Fake: 0.0, Real: 0.0 | Load: 1.384, Train: 7.01
Step 96002 | L1: 0.03933 | Vgg: 0.06203 | SW: 0.03 | Sync: 1.443 | DW: 0.025 | Percep: 1.553 | Fake: 0.0, Real: 0.0 | Load: 0.02992, Train: 0.4217
Step 96003 | L1: 0.04518 | Vgg: 0.05952 | SW: 0.03 | Sync: 1.459 | DW: 0.025 | Percep: 1.558 | Fake: 0.0, Real: 0.0 | Load: 0.02166, Train: 0.4293
Step 96004 | L1: 0.04633 | Vgg: 0.05977 | SW: 0.03 | Sync: 13.91 | DW: 0.025 | Percep: 1.564 | Fake: 0.0, Real: 0.0 | Load: 0.02597, Train: 0.4544
Step 96005 | L1: 0.0553 | Vgg: 0.06795 | SW: 0.03 | Sync: 11.77 | DW: 0.025 | Percep: 1.56 | Fake: 0.0, Real: 0.0 | Load: 0.03063, Train: 0.6532
Step 96006 | L1: 0.05424 | Vgg: 0.06676 | SW: 0.03 | Sync: 9.939 | DW: 0.025 | Percep: 1.559 | Fake: 0.0, Real: 0.0 | Load: 0.03251, Train: 0.4243
Step 96007 | L1: 0.05283 | Vgg: 0.06603 | SW: 0.03 | Sync: 8.734 | DW: 0.025 | Percep: 1.56 | Fake: 0.0, Real: 0.0 | Load: 0.02635, Train: 0.4229
Step 96008 | L1: 0.05302 | Vgg: 0.06635 | SW: 0.03 | Sync: 8.273 | DW: 0.025 | Percep: 1.562 | Fake: 0.0, Real: 0.0 | Load: 0.02992, Train: 0.4463
Step 96009 | L1: 0.05318 | Vgg: 0.06661 | SW: 0.03 | Sync: 10.4 | DW: 0.025 | Percep: 1.562 | Fake: 0.0, Real: 0.0 | Load: 0.02652, Train: 0.4358
Step 96010 | L1: 0.05718 | Vgg: 0.07112 | SW: 0.03 | Sync: 9.488 | DW: 0.025 | Percep: 1.566 | Fake: 0.0, Real: 0.0 | Load: 0.03908, Train: 0.4485
Step 96011 | L1: 0.05994 | Vgg: 0.07757 | SW: 0.03 | Sync: 8.815 | DW: 0.025 | Percep: 1.569 | Fake: 0.0, Real: 0.0 | Load: 0.02682, Train: 0.4505
Step 96012 | L1: 0.06019 | Vgg: 0.07879 | SW: 0.03 | Sync: 10.41 | DW: 0.025 | Percep: 1.571 | Fake: 0.0, Real: 0.0 | Load: 0.02571, Train: 0.4491
Step 96013 | L1: 0.05915 | Vgg: 0.07948 | SW: 0.03 | Sync: 11.84 | DW: 0.025 | Percep: 1.574 | Fake: 0.0, Real: 0.0 | Load: 0.02215, Train: 0.452
Step 96014 | L1: 0.06 | Vgg: 0.08167 | SW: 0.03 | Sync: 11.14 | DW: 0.025 | Percep: 1.576 | Fake: 0.0, Real: 0.0 | Load: 0.01986, Train: 0.5502
Step 96015 | L1: 0.06015 | Vgg: 0.08564 | SW: 0.03 | Sync: 13.79 | DW: 0.025 | Percep: 1.578 | Fake: 0.0, Real: 0.0 | Load: 0.02387, Train: 0.4317
Step 96016 | L1: 0.06278 | Vgg: 0.0863 | SW: 0.03 | Sync: 13.14 | DW: 0.025 | Percep: 1.58 | Fake: 0.0, Real: 0.0 | Load: 0.02426, Train: 0.4422
